Package,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,Archs,MD5sum,NeedsCompilation,Additional_repositories,Author,Authors@R,Biarch,BugReports,BuildKeepEmpty,BuildManual,BuildResaveData,BuildVignettes,Built,ByteCompile,Classification/ACM,Classification/ACM-2012,Classification/JEL,Classification/MSC,Classification/MSC-2010,Collate,Collate.unix,Collate.windows,Contact,Copyright,Date,Date/Publication,Description,Encoding,KeepSource,Language,LazyData,LazyDataCompression,LazyLoad,MailingList,Maintainer,Note,Packaged,RdMacros,StagedInstall,SysDataCompression,SystemRequirements,Title,Type,URL,UseLTO,VignetteBuilder,ZipData,Path,X-CRAN-Comment,Published,Reverse depends,Reverse imports,Reverse linking to,Reverse suggests,Reverse enhances,Deadline,DOI,ind_ggplot_depend_import_suggest,ind_gg,ind_ggplot_in_description,ind_extension_in_description,ext_score
add2ggplot,0.3.0,NA,NA,"ggplot2, magrittr, RColorBrewer, magick, zeallot",NA,"knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,d86831650b1fcaf60764078e0f83e0b6,no,NA,"Jiaxiang Li [aut, cre] (<https://orcid.org/0000-0003-3196-6492>),
  Nakagawara Ryo [aut]","
    c(person(given = ""Jiaxiang"",
           family = ""Li"",
           role = c(""aut"", ""cre""),
           email = ""alex.lijiaxiang@foxmail.com"",
           comment = c(ORCID = ""https://orcid.org/0000-0003-3196-6492"")),
    person(given = ""Nakagawara"",
           family = ""Ryo"",
           role = c(""aut""),
           email = ""ryonakagawara@gmail.com""))",NA,https://github.com/JiaxiangBU/add2ggplot/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-02-07 11:50:02 UTC,Create 'ggplot2' themes and color palettes.,UTF-8,NA,NA,true,NA,NA,NA,Jiaxiang Li <alex.lijiaxiang@foxmail.com>,NA,2020-01-27 07:03:24 UTC; lijiaxiang,NA,NA,NA,NA,Add to 'ggplot2',NA,https://github.com/JiaxiangBU/add2ggplot,NA,knitr,NA,NA,NA,2020-02-07,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.add2ggplot,TRUE,TRUE,TRUE,FALSE,2
adventr,0.1.8,NA,"R (>= 3.6.0), learnr","BayesFactor, boot, dplyr, car, effsize, effects, forcats,
GGally, ggplot2, Hmisc, lm.beta, nlme, readr, robust, sandwich,
sjstats, tidyr, WRS2",NA,"knitr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,e693efb50579a01c5e8d9de42dbfb574,no,NA,"Andy Field [aut, cre]","person(""Andy"", ""Field"", email = ""andyf@sussex.ac.uk"", role = c(""aut"", ""cre""))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-05-05 16:50:06 UTC,"Interactive 'R' tutorials written using 'learnr' for Field (2016), ""An Adventure in Statistics"", <ISBN:9781446210451>.
    Topics include general workflow in 'R' and 'Rstudio', the 'R' environment and 'tidyverse', summarizing data, model fitting, central tendency, 
    visualising data using 'ggplot2', inferential statistics and robust estimation, hypothesis testing, the general linear model, comparing means,
    repeated measures designs, factorial designs, multilevel models, growth models, and generalized linear models (logistic regression).",NA,NA,NA,true,NA,NA,NA,Andy Field <andyf@sussex.ac.uk>,NA,2020-05-01 09:28:52 UTC; andyfield,NA,NA,NA,NA,"Interactive R Tutorials to Accompany Field (2016), ""An Adventure
in Statistics""",Package,NA,NA,knitr,NA,NA,NA,2020-05-05,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.adventr,TRUE,FALSE,TRUE,FALSE,1
afcharts,0.4.1,NA,R (>= 3.5),"ggplot2, scales, cli, rlang, dplyr",NA,"ggtext, knitr, rmarkdown, tibble, tidyr, glue, purrr,
stringr, testthat (>= 2.1.0), plotly, gt, svglite (>= 2.1.2),
ragg (>= 1.2.6), gapminder, diffviewer, vdiffr",NA,MIT + file LICENSE,NA,NA,NA,NA,055841be66ebe371356557a00aa1b6a2,no,NA,"Crown Copyright [cph],
  Government Analysis Function [fnd],
  Alice Hannah [aut],
  Olivia Box Power [cre, ctb]","c(
    person(""Crown Copyright"", , , , role = c(""cph"")),
    person(""Government Analysis Function"", , , ""Analysis.Function@ons.gov.uk"", role = c(""fnd"")),
    person(""Alice"", ""Hannah"", , ""alice.hannah@gov.scot"", role = c(""aut"")),
    person(""Olivia"", ""Box Power"", , ""Olivia.BoxPower@dhsc.gov.uk"", role = c(""cre"", ""ctb""))
  )",NA,https://github.com/best-practice-and-impact/afcharts/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-13 15:20:02 UTC,"Colour palettes and a 'ggplot2' theme to follow the UK Government
    Analysis Function best practice guidance for producing data visualisations,
    available at
    <https://analysisfunction.civilservice.gov.uk/policy-store/data-visualisation-charts/>.
    Includes continuous and discrete colour and fill scales, as well as a
    'ggplot2' theme.",UTF-8,NA,NA,true,NA,NA,NA,Olivia Box Power <Olivia.BoxPower@dhsc.gov.uk>,NA,2025-01-13 14:58:36 UTC; OBoxPower,NA,NA,NA,NA,"Produce Charts Following UK Government Analysis Function
Guidance",NA,"https://github.com/best-practice-and-impact/afcharts,
https://best-practice-and-impact.github.io/afcharts/",NA,knitr,NA,NA,NA,2025-01-13,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.afcharts,TRUE,FALSE,TRUE,FALSE,1
afex,1.4-1,NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods, utils",NA,"emmeans (>= 1.4), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psychTools, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm,
statmod, performance (>= 0.7.2), see (>= 0.6.4), ez,
ggResidpanel, grid, vdiffr",NA,GPL (>= 2),NA,NA,NA,NA,20851164a80cc5246248813c05449da8,no,NA,"Henrik Singmann [aut, cre] (<https://orcid.org/0000-0002-4842-3657>),
  Ben Bolker [aut],
  Jake Westfall [aut],
  Frederik Aust [aut] (<https://orcid.org/0000-0003-4900-788X>),
  Mattan S. Ben-Shachar [aut],
  Søren Højsgaard [ctb],
  John Fox [ctb],
  Michael A. Lawrence [ctb],
  Ulf Mertens [ctb],
  Jonathon Love [ctb],
  Russell Lenth [ctb],
  Rune Haubo Bojesen Christensen [ctb]","c(person(given=""Henrik"", family=""Singmann"", role=c(""aut"", ""cre""),
          email=""singmann@gmail.com"", comment=c(ORCID=""0000-0002-4842-3657"")),
         person(given=""Ben"", family=""Bolker"", role=c(""aut"")), 
         person(given=""Jake"",family=""Westfall"", role=c(""aut"")), 
         person(given=""Frederik"", family=""Aust"", role=c(""aut""), 
          comment = c(ORCID = ""0000-0003-4900-788X"")),
         person(given=""Mattan S."",family=""Ben-Shachar"", role=c(""aut"")), 
         person(given=""Søren"", family=""Højsgaard"", role=c(""ctb"")),
         person(given=""John"", family=""Fox"", role=c(""ctb"")), 
         person(given=""Michael A."", family=""Lawrence"", role=c(""ctb"")), 
         person(given=""Ulf"", family=""Mertens"", role=c(""ctb"")), 
         person(given=""Jonathon"", family=""Love"", role=c(""ctb"")), 
         person(given=""Russell"", family=""Lenth"", role=c(""ctb"")), 
         person(given=""Rune"", family=""Haubo Bojesen Christensen"", role=c(""ctb"")))",NA,https://github.com/singmann/afex/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-01 16:10:02 UTC,"Convenience functions for analyzing factorial experiments using ANOVA or
         mixed models. aov_ez(), aov_car(), and aov_4() allow specification of
         between, within (i.e., repeated-measures), or mixed (i.e., split-plot) 
         ANOVAs for data in long format (i.e., one observation per row),
         automatically aggregating multiple observations per individual and cell 
         of the design. mixed() fits mixed models using lme4::lmer() and computes 
         p-values for all fixed effects using either Kenward-Roger or Satterthwaite 
         approximation for degrees of freedom (LMM only), parametric bootstrap 
         (LMMs and GLMMs), or likelihood ratio tests (LMMs and GLMMs). 
         afex_plot() provides a high-level interface for interaction or one-way 
         plots using ggplot2, combining raw data and model estimates. afex uses 
         type 3 sums of squares as default (imitating commercial statistical software).",UTF-8,NA,NA,true,NA,NA,NA,Henrik Singmann <singmann@gmail.com>,NA,2024-09-01 13:47:00 UTC; singm,NA,NA,NA,NA,Analysis of Factorial Experiments,Package,"https://afex.singmann.science/, https://github.com/singmann/afex",NA,"knitr, R.rsp",NA,NA,NA,2024-09-01,AOboot,"BiostatsUHNplus, bruceR, fullfact, jmv, pwr2ppl, r2glmm, statsExpressions, Superpower",NA,"apa, designr, effectsize, ggeffects, ggstatsplot, insight, marginaleffects, papaja, parameters, performance, prmisc, standardize, tidystats, TOSTER",NA,NA,10.32614/CRAN.package.afex,TRUE,FALSE,TRUE,FALSE,1
agricolaeplotr,0.6.1,NA,R (>= 4.0),"ggplot2, agricolae, raster, sp (>= 2.0.0), methods, FielDHub,
utils, tibble, sf, dplyr, tidyr, stringr, stplanr, ggspatial",NA,"testthat (>= 3.0.0), knitr, rmarkdown, leaflet",NA,GPL (>= 3),NA,NA,NA,NA,9a96336c3487dc850f2bff6d3f93598c,no,NA,"Jens Harbers [aut, cre] (<https://orcid.org/0000-0001-6634-623X>)","
    person(family=""Harbers"", given=""Jens"", email=""jensharbers@gmail.com"", role=c(""aut"",""cre""),
           comment = c(ORCID = ""0000-0001-6634-623X""))",NA,https://github.com/jensharbers/agricolaeplotr/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-30 16:50:02 UTC,"Visualization of Design of Experiments from the 'agricolae' package with 'ggplot2' framework
    The user provides an experiment design from the 'agricolae' package, calls the corresponding function and will receive a 
    visualization with 'ggplot2' based functions that are specific for each design. As there are many different designs, each design is tested on its type.
    The output can be modified with standard 'ggplot2' commands or with other packages with 'ggplot2' function extensions.",UTF-8,NA,en-US,NA,NA,NA,NA,Jens Harbers <jensharbers@gmail.com>,'None',2025-01-30 16:18:08 UTC; Jens Harbers,NA,NA,NA,NA,"Visualization of Design of Experiments from the 'agricolae'
Package",Package,https://github.com/jensharbers/agricolaeplotr,NA,knitr,NA,NA,NA,2025-01-30,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.agricolaeplotr,TRUE,FALSE,TRUE,TRUE,2
AlleleShift,1.1-2,NA,R (>= 4.1.0),"vegan (>= 2.6-4), BiodiversityR (>= 2.15-4), adegenet",NA,"poppr, mgcv, dplyr, ggplot2, GGally, ggforce, ggrepel, ggsci,
gggibbous, gganimate, patchwork",NA,GPL-3,NA,NA,NA,NA,cc881c2995d5654dde2224124c4f8ec0,no,NA,"Roeland Kindt [cre, aut] (<https://orcid.org/0000-0002-7672-0712>)","
    c(person(given = ""Roeland"",
             family = ""Kindt"",
             role = c(""cre"", ""aut""),
             email = ""RoelandCEKindt@gmail.com"",
             comment = c(ORCID = ""0000-0002-7672-0712"")))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-28,2023-10-28 21:50:12 UTC,"Methods (<doi:10.7717/peerj.11534>) are provided of calibrating and predicting shifts in allele frequencies through redundancy analysis ('vegan::rda()') and generalized additive models ('mgcv::gam()'). Visualization functions for predicted changes in allele frequencies include 'shift.dot.ggplot()', 'shift.pie.ggplot()', 'shift.moon.ggplot()', 'shift.waffle.ggplot()' and 'shift.surf.ggplot()' that are made with input data sets that are prepared by helper functions for each visualization method. Examples in the documentation show how to prepare animated climate change graphics through a time series with the 'gganimate' package. Function 'amova.rda()' shows how Analysis of Molecular Variance can be directly conducted with the results from redundancy analysis.",NA,NA,NA,NA,NA,NA,NA,Roeland Kindt <RoelandCEKindt@gmail.com>,NA,2023-10-28 16:17:49 UTC; RKINDT,NA,NA,NA,NA,"Predict and Visualize Population-Level Changes in Allele
Frequencies in Response to Climate Change",Package,NA,NA,NA,NA,NA,NA,2023-10-28,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.AlleleShift,TRUE,FALSE,TRUE,FALSE,1
aplotExtra,0.0.3,NA,R (>= 4.1.0),"aplot (>= 0.2.3), dplyr, forcats, ggfun (>= 0.1.1), ggplot2,
grid, maftools, purrr, rlang, tibble, tidyr, utils, ggstar,
yulab.utils (>= 0.0.8)",NA,"ggtree, data.table, RColorBrewer, R.utils",NA,Artistic-2.0,NA,NA,NA,NA,f28f41dc8dfe053f7551c7e0fb61e034,no,NA,"Guangchuang Yu [aut, cre] (<https://orcid.org/0000-0002-6485-8781>),
  Shuangbin Xu [ctb] (<https://orcid.org/0000-0003-3513-5362>),
  Chun-Hui Gao [ctb] (<https://orcid.org/0000-0002-1445-7939>),
  Shensuo Li [ctb] (<https://orcid.org/0009-0006-3229-3700>)","c(
    person(given = ""Guangchuang"", family = ""Yu"", email = ""guangchuangyu@gmail.com"",   role  = c(""aut"", ""cre""), comment = c(ORCID = ""0000-0002-6485-8781"")),
    person(""Shuangbin"", ""Xu"", email = ""xshuangbin@163.com"", role = ""ctb"", comment = c(ORCID=""0000-0003-3513-5362"")),
    person(""Chun-Hui"",""Gao"", email=""gaospecial@gmail.com"", role= ""ctb"", comment=c(ORCID = ""0000-0002-1445-7939"")),
    person(""Shensuo"",""Li"", email=""lishensuo@163.com"", role= ""ctb"", comment=c(ORCID = ""0009-0006-3229-3700""))
    )",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-17 08:30:13 UTC,"Many complex plots are actually composite plots, such as 'oncoplot', 'funkyheatmap', 'upsetplot', etc. We can produce subplots using 'ggplot2' and combine them to create composite plots using 'aplot'. In this way, it is easy to customize these complex plots, by adding, deleting or modifying subplots in the final plot. This package provides a set of utilities to help users to create subplots and complex plots.",UTF-8,NA,NA,NA,NA,NA,NA,Guangchuang Yu <guangchuangyu@gmail.com>,NA,2024-12-17 08:06:40 UTC; HUAWEI,NA,NA,NA,NA,Creating Composite Plots using 'aplot',NA,https://github.com/YuLab-SMU/aplotExtra,NA,NA,NA,NA,NA,2024-12-17,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.aplotExtra,TRUE,FALSE,TRUE,FALSE,1
apyramid,0.1.3,NA,R (>= 3.2.0),"ggplot2 (>= 3.0.0), tidyselect, rlang, forcats (>= 1.0.0),
dplyr, scales, glue",NA,"testthat (>= 2.1.0), survey, srvyr, vdiffr, covr, outbreaks,
knitr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,e98f101ce04844f3bbf40948107dc4bb,no,NA,"Zhian N. Kamvar [aut, cre] (<https://orcid.org/0000-0003-1458-7108>),
  Alex Spina [ctb]","c(
    person(given = ""Zhian N."",
           family = ""Kamvar"",
           role = c(""aut"", ""cre""),
           email = ""zkamvar@gmail.com"",
           comment = c(ORCID = ""0000-0003-1458-7108"")),
    person(given = ""Alex"",
           family = ""Spina"",
           role = c(""ctb"")))",NA,https://github.com/R4EPI/apyramid/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-14 17:30:02 UTC,"Provides a quick method for visualizing non-aggregated line-list
    or aggregated census data stratified by age and one or two categorical
    variables (e.g. gender and health status) with any number of values. It
    returns a 'ggplot' object, allowing the user to further customize the
    output. This package is part of the 'R4Epis' project 
    <https://r4epis.netlify.app/>.",UTF-8,NA,NA,true,NA,NA,NA,Zhian N. Kamvar <zkamvar@gmail.com>,NA,2023-02-14 17:09:42 UTC; zhian,NA,NA,NA,NA,Visualize Population Pyramids Aggregated by Age,NA,"https://github.com/R4EPI/apyramid, https://r4epis.netlify.app/",NA,knitr,NA,NA,NA,2023-02-14,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.apyramid,TRUE,FALSE,TRUE,FALSE,1
arrowheadr,1.0.1,NA,R (>= 2.10),"bezier, graphics, grDevices, purrr, stats",NA,"ggarrow, testthat (>= 3.0.0)",NA,CC0,NA,NA,NA,NA,aa6ad73278db3fc00d38d3217a1e447b,no,NA,"W. Joel Schneider [aut, cre] (<https://orcid.org/0000-0002-8393-5316>)","
    person(""W. Joel"", ""Schneider"", , ""w.joel.schneider@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0002-8393-5316""))",NA,https://github.com/wjschne/arrowheadr/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-10 17:00:05 UTC,"The 'ggarrow' package is a 'ggplot2' extension that plots
    a variety of different arrow segments with many options to customize. 
    The 'arrowheadr' package makes it easy to create custom arrowheads 
    and fins within the parameters that 'ggarrow' functions expect. It 
    has preset arrowheads and a collection of functions to create and 
    transform data for customizing arrows.",UTF-8,NA,NA,NA,NA,NA,NA,W. Joel Schneider <w.joel.schneider@gmail.com>,NA,2024-06-07 14:49:54 UTC; renee,NA,NA,NA,NA,Make Custom Arrowheads,Package,"https://github.com/wjschne/arrowheadr,
https://wjschne.github.io/arrowheadr/",NA,NA,NA,NA,NA,2024-06-10,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.arrowheadr,TRUE,FALSE,TRUE,TRUE,2
artpack,0.1.0,NA,NA,"cli, dplyr (>= 1.0.8), grDevices, knitr, purrr (>= 0.3.4),
rlang, stringr (>= 1.5.0), tibble (>= 3.1.6)",NA,"covr, rmarkdown, spelling, testthat (>= 3.0.0), ggplot2 (>=
3.4.2), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,a0b056c7bd5c1342cad3aca3b2441835,no,NA,"Meghan Harris [aut, cre] (<https://orcid.org/0000-0003-3922-8101>)","
    person(""Meghan"", ""Harris"", , ""meghanha01@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0003-3922-8101""))",NA,https://github.com/Meghansaha/artpack/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-24 09:00:02 UTC,"Create data that displays generative art when mapped into a 'ggplot2' plot. Functionality includes specialized data frame creation for geometric shapes, tools that define artistic color palettes, tools for geometrically transforming data, and other miscellaneous tools that are helpful when using 'ggplot2' for generative art.",UTF-8,NA,en-US,NA,NA,NA,NA,Meghan Harris <meghanha01@gmail.com>,NA,2023-08-23 17:55:33 UTC; megha,NA,NA,NA,NA,Creates Generative Art Data,NA,https://meghansaha.github.io/artpack/,NA,knitr,NA,NA,NA,2023-08-24,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.artpack,TRUE,FALSE,TRUE,FALSE,1
