"","name","thumbnail","url","ghuser","ghrepo","tags","cran","ghauthor","short","description"
"1","ggQQunif","images/ggQQunif.png","https://github.com/rcorty/ggQQunif","rcorty","ggQQunif","visualization,quantiles,p-values,statistics,big data","true","rcorty","Make QQ plots for big data expected to be uniformly distributed, e.g. p-values.","For ""big data"" applications, we often have thousands or millions of p-values.The QQ-plot is a standard way to evaluate them, but can be horrifyingly slow when there are many p-values.This package computes where all the points would go in the naive implementation, then thins them strategically to greatly reduce overplotting, resulting in much faster plotting."
"2","ggupset","images/ggupset.png","https://github.com/const-ae/ggupset","const-ae","ggupset","visualization,upset,combination matrix","true","const-ae","Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots","Replace the standard x-axis in 'ggplots' with a combination matrixto visualize complex set overlaps. 'UpSet' has introduced a new way to visualizethe overlap of sets as an alternative to Venn diagrams. This package provides a simple way to produce such plots using 'ggplot2'. In addition it can convert any categorical axis into a combinationmatrix axis."
"3","xmrr","images/xmr_chart.png","https://github.com/Zanidean/xmrr","Zanidean","xmrr","XmR, Visualization, Control Charts, QC, XBar","true","Alex Zanidean","Generate XMR Control Chart Data from Time-Series Data.","Use xmr() for XmR data which re-calculates to signal true change, and use xmr_chart() for XmR style control charts with recalculated process limits."
"4","ggpcp","images/ggpcp.png","https://github.com/heike/ggpcp","heike","ggpcp","visualization,parallel coordinate plot,multivariate, categorical","true","heike","Generalized Parallel Coordinate Plots in ggplot2","Parallel coordinate plots (PCP) are good for visualizing observations across multipledimensions by placing variables side-by-side and connecting values from the same observationwith a line segment. Generalized Parallel Coordinate Plots can also seamlessly deal with a mix of categorical and numeric variables in a single plot."
"5","gg3D","images/gg3D.png","https://github.com/AckerDWM/gg3D","AckerDWM","gg3D","3D, Visualization","false","Daniel Acker","3D perspective plots for ggplot2","gg3D adds 3D axes, 3D perspective projections with arbitrary rotations, and 3D wireframe plots to ggplot."
"6","ggQC","images/ggQC.png","https://github.com/kenithgrey/ggQC","kenithgrey","ggQC","QC, XmR, XbarR, SixSigma, Visualization","true","Kenith Grey","Use ggQC to plot single, faceted and multi-layered quality control charts .","ggQC is used to create single, faceted, or multi-layered quality control charts using functions stat_QC(), stat_QC_lines() and stat_mR(). Supported charts include XmR, XbarR, n, c, p, np and more."
"7","ggdist","images/ggdist.png","https://mjskay.github.io/ggdist","mjskay","ggdist","visualization,uncertainty,confidence,probability","true","mjskay","'ggdist' provides stats and geoms for visualizing distributions and uncertainty.","'ggdist' provides stats and geoms for visualizing distributions that are particularly tuned forvisualizing uncertainty in either a frequentist or Bayesian mode. Both analytical distributions (such asfrequentist confidence distributions or Bayesian priors) and distributions represented as samples (such asbootstrap distributions or Bayesian posterior samples) are easily visualized. Visualization primitives includebut are not limited to"
"8","ggedit","images/ggedit.png","https://github.com/metrumresearchgroup/ggedit","metrumresearchgroup","ggedit","visualization, interactive, shiny, general,themes","true","yonicd","ggedit is aimed to interactively edit ggplot layers, scales and themes aesthetics","ggedit is aimed to allows novice and expert ggplot2 users to interactively edit ggplot layers, scales and themes aesthetics, while returning objects and scripts of updated plots using shiny gadgets and modules."
"9","ggpage","images/ggpage.png","https://emilhvitfeldt.github.io/ggpage/","emilhvitfeldt","ggpage","visualization,text","true","emilhvitfeldt","Creates Page Layout Visualizations.","Facilitates the creation of page layoutvisualizations in which words are represented as rectangles with sizesrelating to the length of the words. Which then is divided in linesand pages for easy overview of up to quite large texts."
"10","ggpca","images/ggpca.png","https://cran.r-project.org/web/packages/ggpca/index.html","YaoxiangLi","ggpca","visualization,dimensionality_reduction,PCA,t-SNE,UMAP","true","Yaoxiang Li","Provides tools for creating publication-ready PCA, t-SNE, and UMAP plots.","`ggpca` offers publication-ready dimensionality reduction plots, including Principal Component Analysis (PCA),t-Distributed Stochastic Neighbor Embedding (t-SNE), and Uniform Manifold Approximation and Projection (UMAP). Designed for high-dimensional data visualization, it includes options for custom labels, density plots, and faceting,and is built on the 'ggplot2' framework. Useful for researchers and data scientists in various fields for efficientand insightful data visualization."
"11","ggbreak","images/ggbreak.png","https://github.com/YuLab-SMU/ggbreak","YuLab-SMU","ggbreak","visualization, geoms","true","YuLab-SMU","Set Axis Break for 'ggplot2'","An implementation of scale functions for setting axis breaks of a 'gg' plot."
"12","ggimg","images/ggimg.png","https://github.com/statsmaths/ggimg","statsmaths","ggimg","visualization, geoms","true","statsmaths","Graphics Layers for Plotting Image Data with ggplot2.","Provides two new layer types for displaying image data as layerswithin the Grammar of Graphics framework. Displays images using either arectangle interface, with a fixed bounding box, or a point interface using acentral point and general size parameter. Images can be given as localJPEG or PNG files, external resources, or as a list column containingraster image data."
"13","gganatogram","images/gganatogram.png","https://github.com/jespermaag/gganatogram","jespermaag","gganatogram","anatograms, tissue, visualization, anatomy, expression, pharmacology","false","jespermaag","gganatogram makes it possible to visualise tissues for different organisms or cell compartments.","gganatogram is aimed to users who would like to visualise certain organs or cell compartments based on values, or to highlight tissues. This can be useful when the user easily want to display tissue information e.g. RNA-seq, pharmacology or mutations per tissue."
"14","ggforce","images/ggforce.png","https://github.com/thomasp85/ggforce","thomasp85","ggforce","visualization,general","true","thomasp85","ggforce is aimed at providing missing functionality to ggplot2 through the extension system introduced with ggplot2 v2.0.0.",">"
"15","ggalt","images/ggalt.png","https://github.com/hrbrmstr/ggalt","hrbrmstr","ggalt","visualization,general","true","hrbrmstr","A compendium of ‘geoms’, ‘coords’ and ‘stats’ for ‘ggplot2’.","A compendium of ‘geoms’, ‘coords’ and ‘stats’ for ‘ggplot2’, including splines, 1d and 2d densities, univariate average shifted histograms and a new map coordinate system based on the ‘PROJ.4’-library."
"16","ggiraph","images/ggiraph.png","https://github.com/davidgohel/ggiraph","davidgohel","ggiraph","visualization,general","true","davidgohel","htmlwidget to make 'ggplot' graphics interactive.",">"
